StudentID,Gender,StudyHoursPerDay,AttendancePercentage,ParentalEducation,FinalScore
1,Female,2.5,90.7,Bachelor's,36.3
2,Female,2.2,83.7,Master's,48.0
3,Male,0.6,54.5,High School,21.8
4,Male,7.8,52.8,Bachelor's,68.7
5,Male,5.0,89.2,High School,66.2
6,Male,2.7,65.0,Bachelor's,47.6
7,Male,8.1,55.1,Bachelor's,49.8
8,Female,3.4,62.0,Bachelor's,33.5
9,Male,2.0,89.7,PhD,24.9
10,Male,3.4,99.7,High School,66.3
11,Female,6.7,95.9,High School,73.9
12,Female,2.8,54.4,Bachelor's,32.1
13,Male,2.7,83.1,Master's,45.0
14,Male,8.8,67.6,High School,82.5
15,Male,5.4,73.8,Bachelor's,59.3
16,Female,7.4,74.6,Bachelor's,57.9
17,Male,9.0,69.2,High School,82.0
18,Female,2.7,64.3,PhD,47.6
19,Female,5.3,81.6,Bachelor's,56.7
20,Female,1.3,68.2,PhD,33.3
21,Female,9.6,66.7,High School,72.6
22,Male,8.1,60.2,Bachelor's,82.4
23,Male,6.5,98.1,Master's,63.9
24,Male,2.0,71.5,Master's,33.1
25,Male,9.7,70.8,Bachelor's,83.3
26,Male,0.4,71.7,Bachelor's,28.6
27,Male,4.2,81.0,Master's,56.7
28,Male,9.4,58.6,High School,66.7
29,Female,3.2,54.9,Bachelor's,41.6
30,Male,7.8,91.0,High School,72.9
31,Female,9.8,91.3,Bachelor's,90.0
32,Male,7.0,59.4,High School,65.0
33,Male,3.0,86.6,High School,41.7
34,Female,9.7,62.6,Master's,57.4
35,Female,4.0,67.6,Bachelor's,58.6
36,Male,9.5,98.7,Bachelor's,89.7
37,Female,1.3,87.0,Master's,31.4
38,Male,9.4,95.3,Master's,100.0
39,Male,7.6,61.7,Bachelor's,77.9
40,Male,0.5,76.4,High School,30.7
41,Male,6.6,59.6,High School,72.2
42,Male,2.3,93.9,Bachelor's,49.7
43,Male,5.2,52.4,Bachelor's,45.6
44,Male,5.1,91.8,High School,59.1
45,Female,1.1,85.9,Bachelor's,44.4
46,Female,8.2,96.1,High School,82.5
47,Male,9.6,91.0,Master's,82.6
48,Male,5.9,58.8,High School,57.5
49,Female,4.0,79.4,PhD,55.6
50,Male,6.6,87.3,High School,67.9
51,Male,4.0,98.8,Bachelor's,61.7
52,Female,6.0,82.2,Bachelor's,75.1
53,Female,4.3,66.0,Master's,49.1
54,Male,1.5,89.5,High School,50.1
55,Male,8.5,50.9,Bachelor's,70.0
56,Male,3.6,77.6,Bachelor's,54.9
57,Female,1.0,81.1,High School,33.7
58,Male,0.4,63.8,Bachelor's,24.6
59,Male,4.6,69.4,Bachelor's,41.2
60,Male,1.3,93.8,Bachelor's,42.6
61,Male,7.0,99.3,Master's,45.9
62,Female,0.6,57.0,Bachelor's,16.6
63,Male,0.0,97.1,PhD,27.5
64,Female,0.9,70.8,Master's,23.6
65,Male,8.1,74.8,Bachelor's,83.2
66,Female,7.0,,Bachelor's,62.3
67,Female,8.6,78.3,Bachelor's,78.7
68,Female,8.0,79.6,High School,78.0
69,Female,2.3,74.6,High School,45.7
70,Male,5.1,63.9,Bachelor's,56.5
71,Female,5.4,67.2,Bachelor's,58.3
72,Male,2.9,96.6,Bachelor's,54.6
73,Male,3.7,81.2,High School,64.3
74,Male,2.7,91.6,Bachelor's,37.2
